dirAndDomain,itemAndType,subdomain,value,unit,citation,createdAt,updatedAt
baseline_housing,imputedrent_amount,construction-maintenance,32.06179314,m2,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,rent_amount,construction-maintenance,6.934328682,m2,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,landrent_amount,construction-maintenance,1.96142204,000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,housing-maintenance_amount,construction-maintenance,44.18305217,000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,electricity_amount,electricity,2156.268842,kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,urbangas_amount,otherenergy,886.8038344,kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,lpg_amount,otherenergy,438.7575348,kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,kerosene_amount,otherenergy,650.7599302,kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,otherenergy_amount,otherenergy,54.81742592,kWh,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_housing,water_amount,water,103.5505,m3,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,airplane_amount,airplane,1161.463556,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,train_amount,train,2883.143695,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,bus_amount,bus,430.6177624,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,ferry_amount,ferry,20.10019321,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,taxi_amount,taxi,48.16514973,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,private-car-driving_amount,privatecar,4341.744284,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,car-sharing-driving_amount,carsharing,60.7815956,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,motorbike-driving_amount,motorbike,254.458252,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,bicycle-driving_amount,bicycle,264.0133354,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,walking_amount,walking,168.9344406,km-passenger,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,private-car-purchase_amount,privatecar,0.043510227,unit,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,motorbike-purchase_amount,motorbike,0.002635317,unit,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,car-sharing-rental_amount,carsharing,0.161272731,time,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,private-car-maintenance_amount,privatecar,55.72777896,000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,motorbike-maintenance_amount,motorbike,0.446120353,000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_mobility,bicycle-maintenance_amount,bicycle,0.406667749,000JPY,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,rice_amount,cereals,36.32022954,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,bread-flour_amount,cereals,25.42246341,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,noodle_amount,cereals,17.07580051,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,potatoes_amount,vegetables,10.63988512,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,vegetables_amount,vegetables,84.35864392,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,processedvegetables_amount,vegetables,9.352578159,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,beans_amount,beans-nuts,21.04303905,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,milk_amount,dairy,27.99026002,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,otherdairy_amount,dairy,13.71537565,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,eggs_amount,eggs,10.20832311,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,beef_amount,meat,2.047383013,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,pork_amount,meat,6.375758077,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,chicken_amount,meat,5.066184282,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,othermeat_amount,meat,1.093763838,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,processedmeat_amount,meat,4.140424111,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,fish_amount,fish,17.32938165,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,processedfish_amount,fish,6.469890905,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,fruits_amount,fruits,35.41537591,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,oil_amount,otherfood,4.234655533,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,seasoning_amount,otherfood,24.03977302,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,sweets-snack_amount,otherfood,20.70887802,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,readymeal_amount,otherfood,40.11077093,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,alcohol_amount,beverages,53.83668469,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,coffee-tea_amount,beverages,136.4468369,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
baseline_food,colddrink_amount,beverages,129.9537532,kg,Koide et al. 2021. Environmental Research Letters 16 084001,2022-06-20T11:15:00.340Z,2022-06-20T11:15:00.340Z
