option,domain_item_type,value,args,operation,citation,createdAt,updatedAt
telework,mobility_train_amount,-0.468854791,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_bus_amount,-0.112666772,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_taxi_amount,-0.060224246,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_private-car-driving_amount,-0.213660031,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_motorbike-driving_amount,-0.396275784,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_bicycle-driving_amount,-0.295237367,,reduction-rate,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_private-car-purchase_amount,1,mobility_private-car-driving_amount,proportional-to-other-items,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_motorbike-purchase_amount,1,mobility_motorbike-driving_amount,proportional-to-other-items,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.000Z,2022-07-29T21:56:16.220Z
telework,mobility_private-car-maintenance_amount,1,mobility_private-car-driving_amount,proportional-to-other-items,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
telework,mobility_motorbike-maintenance_amount,1,mobility_motorbike-driving_amount,proportional-to-other-items,Koide et al. 2021. Environmental Research Letters 16 084001,2022-07-29T21:56:16.220Z,2022-07-29T21:56:16.220Z
